rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,灰毛艾露猫,提督,153,绿冻,46
2,3546919678773500,灰獺,提督,164,绿冻,45
3,1056997306,異分岐のプリエ,提督,170,绿冻,43
4,954264,禅心皈无意,提督,152,绿冻,43
5,620527230,gorilla3535,提督,155,绿冻,42
6,39184396,继续吹着风,提督,164,绿冻,41
7,8097996,明石ito,提督,157,绿冻,41
8,476251017,衣水难尽,提督,153,绿冻,41
9,352883270,灰泽满家的米洗鳰原葉,提督,112,绿冻,41
10,485418462,灰泽满家的伊洛本人,提督,99,绿冻,41
11,5266758,水布Mizufu,提督,117,绿冻,40
12,39493583,本命伊利亚,提督,152,绿冻,39
13,13334226,微绫,提督,152,绿冻,39
14,5623688,Helikobeter,提督,91,绿冻,39
15,1429196293,匹诺曹317,提督,94,绿冻,38
16,1002305706,雪音-xy,提督,99,绿冻,38
17,228098233,叹虚,提督,132,绿冻,38
18,471084,一稞大青菜,提督,159,绿冻,38
19,208818750,你治好了也会流口水,提督,114,绿冻,38
20,321224291,区泽马,提督,84,绿冻,37
21,5775091,sue77776,提督,147,绿冻,37
22,6251296,栗帽,提督,51,绿冻,36
23,27341319,加库伯_重生冷却中,提督,161,绿冻,36
24,494629966,aIIblacks,提督,106,绿冻,35
25,916810,Jing11219,提督,22,绿冻,35
26,244453975,大纳言黑翼,提督,103,绿冻,34
27,1569772,灰泽满毒唯澹台璃沙,提督,51,绿冻,33
28,249486249,larva_中国囚人,提督,57,绿冻,33
29,189997540,音速の水母,提督,57,绿冻,32
30,40699233,闲着没事造点什么,提督,51,绿冻,31
31,361364517,本間心鈴厨,提督,11,绿冻,31
32,2399747,绫辻澪,舰长,159,绿冻,41
33,285693795,星光箱水母,舰长,157,绿冻,41
34,2044760,Stan661,舰长,144,绿冻,41
35,6580838,兰卡兰卡兰兰的卡,舰长,170,绿冻,39
36,3546983578994744,KOU_KEI,舰长,156,绿冻,39
37,13012997,污盘子,舰长,168,绿冻,38
38,108005133,Taco_7,舰长,167,绿冻,37
39,14071856,最后一步,舰长,156,绿冻,36
40,1603612,月ノneet,舰长,142,绿冻,36
41,863500,任任女孩,舰长,159,绿冻,36
42,335998795,自在他化天,舰长,164,绿冻,36
43,4940641,endle_ss,舰长,160,绿冻,36
44,4041465,风霜已尽惊蛰至,舰长,137,绿冻,36
45,18275149,rrrract,舰长,163,绿冻,36
46,10323817,宇宙人不是外星人,舰长,170,绿冻,35
47,1555138395,风云散丶,舰长,82,绿冻,35
48,5366426,選ばれた奏者,舰长,150,绿冻,35
49,297087,可樂中毒,舰长,125,绿冻,35
50,68243757,花雨浮华,舰长,168,绿冻,35
51,444186960,中年外卖员阿哔official,舰长,153,绿冻,35
52,25103813,ヰ繭月,舰长,136,绿冻,34
53,234387635,害羞小柚子,舰长,152,绿冻,34
54,34880793,Mylenenenenene,舰长,161,绿冻,34
55,3493122468219352,超浓厚水蜜桃果汁,舰长,154,绿冻,34
56,23279442,不良定义,舰长,168,绿冻,34
57,195641492,莓棃普贝当,舰长,134,绿冻,34
58,283678245,烟画屏幽,舰长,156,绿冻,34
59,351035979,_纷若_,舰长,152,绿冻,34
60,4045067,Ricardo洞,舰长,162,绿冻,34
61,628611226,孤独な野良猫,舰长,161,绿冻,33
62,253472118,仿佛有一束追光,舰长,116,绿冻,33
63,11972745,残雨断魂,舰长,157,绿冻,33
64,7108333,理性与感性的结晶体,舰长,121,绿冻,33
65,209374441,知世xf,舰长,153,绿冻,33
66,269109657,次の舞台へ,舰长,167,绿冻,33
67,7159516,恩仙仙,舰长,170,绿冻,33
68,1277473796,灰泽满家的stories,舰长,100,绿冻,33
69,177397837,幽云怀煦,舰长,75,绿冻,33
70,5667363,关心坐骨神经疼,舰长,114,绿冻,33
71,398882736,道明寺萌美,舰长,158,绿冻,33
72,28611751,不是水果是冰菓,舰长,89,绿冻,33
73,6071558,きんなかいほう,舰长,94,绿冻,33
74,521836918,灰泽满轻度依赖,舰长,152,绿冻,32
