rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,Arichi_,总督,107,绿冻,45
2,3546919678773500,灰獺,总督,118,绿冻,45
3,1056997306,異分岐のプリエ,提督,124,绿冻,43
4,620527230,gorilla3535,提督,109,绿冻,42
5,954264,禅心皈无意,提督,106,绿冻,42
6,8097996,明石ito,提督,111,绿冻,41
7,2399747,绫辻澪,提督,113,绿冻,41
8,39184396,继续吹着风,提督,118,绿冻,41
9,285693795,星光箱水母,提督,111,绿冻,41
10,2044760,Stan661,提督,98,绿冻,41
11,476251017,衣水难尽,提督,107,绿冻,40
12,352883270,灰泽满家的米洗鳰原葉,提督,66,绿冻,40
13,485418462,灰泽满家的伊洛本人,提督,53,绿冻,39
14,5266758,水布Mizufu,提督,71,绿冻,39
15,39493583,本命伊利亚,提督,106,绿冻,39
16,6580838,兰卡兰卡兰兰的卡,提督,124,绿冻,38
17,13334226,微绫,提督,106,绿冻,38
18,13012997,灰泽满家的污盘子,提督,122,绿冻,38
19,1002305706,雪音-xy,提督,53,绿冻,37
20,471084,一稞大青菜,提督,113,绿冻,37
21,228098233,叹虚,提督,86,绿冻,37
22,1603612,月ノneet,提督,96,绿冻,36
23,321224291,区泽马,提督,38,绿冻,36
24,5623688,Helikobeter,提督,45,绿冻,36
25,5775091,sue77776,提督,101,绿冻,36
26,208818750,你治好了也会流口水,提督,68,绿冻,35
27,863500,任任女孩,提督,113,绿冻,35
28,1429196293,匹诺曹317,提督,48,绿冻,35
29,27341319,加库伯_重生冷却中,提督,115,绿冻,35
30,496205090,宇宙船800,提督,65,绿冻,35
31,1555138395,风云散丶,提督,56,绿冻,35
32,6286790,Hazelnutt_,提督,5,绿冻,35
33,494629966,好兄弟allblacks,提督,60,绿冻,35
34,249486249,larva_中国囚人,提督,16,绿冻,30
35,3546983578994744,KOU_KEI,舰长,110,绿冻,38
36,108005133,Taco_7,舰长,121,绿冻,37
37,14071856,最后一步,舰长,110,绿冻,36
38,4041465,风霜已尽惊蛰至,舰长,91,绿冻,36
39,4940641,endle_ss,舰长,114,绿冻,35
40,335998795,自在他化天,舰长,118,绿冻,35
41,18275149,rrrract,舰长,117,绿冻,35
42,10323817,宇宙人不是外星人,舰长,124,绿冻,35
43,68243757,花雨浮华,舰长,122,绿冻,35
44,297087,可樂中毒,舰长,79,绿冻,35
45,14374,戏言分子,舰长,99,绿冻,34
46,444186960,中年外卖员阿哔official,舰长,107,绿冻,34
47,3546638930938690,灰泽满Hazel单推人O_o,舰长,121,绿冻,34
48,5366426,選ばれた奏者,舰长,104,绿冻,34
49,3493122468219352,超浓厚水蜜桃果汁,舰长,108,绿冻,33
50,195641492,莓梨普贝当,舰长,89,绿冻,33
51,255474911,hquaz,舰长,112,绿冻,33
52,23279442,不良定义,舰长,122,绿冻,33
53,25103813,ヰ繭月,舰长,90,绿冻,33
54,351035979,_纷若_,舰长,106,绿冻,33
55,628611226,孤独な野良猫,舰长,115,绿冻,33
56,34880793,Mylenenenenene,舰长,0,绿冻,33
57,234387635,害羞小柚子,舰长,106,绿冻,33
58,3461581952256234,三陈小祥-xxx,舰长,120,绿冻,33
59,283678245,烟画屏幽,舰长,110,绿冻,33
60,269109657,次の舞台へ,舰长,121,绿冻,33
61,7108333,理性与感性的结晶体,舰长,75,绿冻,33
62,4045067,Ricardo洞,舰长,0,绿冻,33
63,329002509,野生闪光七星,舰长,113,绿冻,33
64,7159516,恩仙仙,舰长,124,绿冻,33
65,209374441,知世xf,舰长,107,绿冻,33
66,11972745,残雨断魂,舰长,111,绿冻,33
67,253472118,仿佛有一束追光,舰长,70,绿冻,32
68,5667363,关心坐骨神经疼,舰长,68,绿冻,32
69,12432912,蒲鹭Pulu_official,舰长,122,绿冻,32
70,167848076,芒硝小朋友,舰长,116,绿冻,32
71,521836918,灰泽满轻度依赖,舰长,106,绿冻,32
72,1277473796,灰泽满家的stories,舰长,54,绿冻,32
73,1622037175,晓璟含挚烁,舰长,100,绿冻,32
74,30351721,grey1224,舰长,89,绿冻,32
75,49094907,1oz47,舰长,96,绿冻,32
76,430929029,风欲渐起微,舰长,57,绿冻,32
77,3546682545408719,冰菓ツ,舰长,123,绿冻,32
78,1687930947,笑狮弹剑,舰长,115,绿冻,32
79,3546794277472781,比奇南,舰长,106,绿冻,32
80,1832560,大小的白帝,舰长,107,绿冻,32
81,434527265,MorOn1y,舰长,77,绿冻,32
82,446761374,北冥无鱼也无鲲,舰长,115,绿冻,32
83,398882736,道明寺萌美,舰长,113,绿冻,32
84,28611751,不是水果是冰菓,舰长,43,绿冻,31
85,3546980370352517,山雨常数,舰长,118,绿冻,31
86,6071558,きんなかいほう,舰长,48,绿冻,31
87,141192131,deemp,舰长,56,绿冻,31
88,22290994,River-sea,舰长,101,绿冻,31
89,249163668,优等nana,舰长,35,绿冻,31
90,447001521,jioklr,舰长,108,绿冻,31
91,19884007,南风入弦丶l,舰长,124,绿冻,31
92,388266799,liuziya,舰长,71,绿冻,31
93,431935426,摘星踏雪归,舰长,75,绿冻,31
94,85581578,丿紫灬龙,舰长,108,绿冻,30
95,273457056,弥月家的夏祭拉面,舰长,115,绿冻,30
96,3258837,月茗绮桦,舰长,93,绿冻,30
97,6221157,Isklia宝,舰长,106,绿冻,30
98,2394685,六房奏,舰长,61,绿冻,30
99,11504337,弥希Mik1,舰长,47,绿冻,30
100,294817063,此间好安眠,舰长,89,绿冻,30
101,15653509,东东大大,舰长,106,绿冻,30
102,700643657,南洋怪盗灰泽满,舰长,30,绿冻,30
103,86197500,bili_86197500,舰长,61,绿冻,30
104,10472761,胡歌我爱你,舰长,48,绿冻,30
105,34680760,西太平洋海豹,舰长,77,绿冻,30
106,471005865,二宝的逻辑猫,舰长,106,绿冻,30
107,172452174,志岐间修一,舰长,59,绿冻,30
108,3561142,无名一世,舰长,121,绿冻,30
109,35891955,高松灯型綠毛龜,舰长,121,绿冻,30
110,177397837,幽云怀煦,舰长,29,绿冻,30
111,9553689,哇英梨梨,舰长,122,绿冻,30
112,3501990,-小良与兔-,舰长,118,绿冻,30
113,1431527,美國華人唐佳欣,舰长,98,绿冻,30
114,21300440,山月喵,舰长,56,绿冻,30
115,36768737,叶子Kanako,舰长,35,绿冻,30
116,12511824,啊torias-,舰长,98,绿冻,30
117,31271170,一般路过v友,舰长,117,绿冻,30
118,13914405,爱德华也是华,舰长,65,绿冻,30
119,198677109,Ungeheuer,舰长,87,绿冻,30
120,10158641,暖男爆破猴楼来福,舰长,59,绿冻,30
121,336198406,凌徊levy,舰长,96,绿冻,30
122,24785752,Fndryk,舰长,30,绿冻,30
123,26117826,F常胜,舰长,37,绿冻,30
124,9846384,SekiDawn,舰长,38,绿冻,30
125,595680892,找路中,舰长,64,绿冻,30
126,896687,往枉王旺,舰长,106,绿冻,30
127,453572565,全職彌人-andy878797,舰长,110,绿冻,30
128,38928088,偽物WEIWU,舰长,68,绿冻,30
129,5013586,满满冻冻和好吧,舰长,118,绿冻,30
130,481486490,费米玻玻子,舰长,65,绿冻,30
131,98726067,musa-o,舰长,74,绿冻,30
132,129944702,FarLuck-,舰长,48,绿冻,30
133,306642,刺猬随心配,舰长,56,绿冻,29
134,21756232,被灰女妖脑控了,舰长,111,绿冻,29
135,768021,はいいろ773,舰长,48,绿冻,29
136,84519881,bigassy,舰长,93,绿冻,29
137,2109806882,明月清晖夜,舰长,114,绿冻,29
138,237518089,-灼烯-,舰长,48,绿冻,29
139,1848450113,永生の玖,舰长,74,绿冻,29
140,641762042,樱落Allium,舰长,5,绿冻,29
141,15672465,灰泽满从小就是好女孩,舰长,66,绿冻,29
142,441071602,冬日私语_,舰长,56,绿冻,29
143,137700370,黄鱼属嘉心鼠条,舰长,35,绿冻,29
144,175418689,即将氷解的梦,舰长,61,绿冻,29
145,290349893,全薯记,舰长,66,绿冻,29
146,57538746,o日暮,舰长,73,绿冻,29
147,3546704791997166,时之蠹,舰长,52,绿冻,29
148,1120075744,水星旅游,舰长,65,绿冻,29
149,1276212230,灰泽满家的灯野菖蒲,舰长,33,绿冻,29
150,354293626,苦救,舰长,81,绿冻,28
151,66904242,凤游四海,舰长,48,绿冻,28
152,12700680,Lappland--,舰长,80,绿冻,28
153,244453975,大纳言黑翼,舰长,57,绿冻,28
154,39055616,斑鳩ルカ,舰长,122,绿冻,28
155,39256719,1114ka,舰长,45,绿冻,28
156,441776977,Chitose彰良,舰长,117,绿冻,28
157,356030985,灰泽满还在嘴硬,舰长,54,绿冻,28
158,131308759,吾皇为师,舰长,48,绿冻,28
159,13299048,-据亿锡纸-,舰长,67,绿冻,28
160,84219012,IcyLisianthus冰桔梗,舰长,50,绿冻,28
161,15190952,None_so_Vile,舰长,78,绿冻,28
162,38739372,_渚风,舰长,108,绿冻,28
163,13239691,梅莉不加糖,舰长,48,绿冻,28
